"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129537-105,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robes enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3097519_uploaded_image1_1620165230.jpg"""
"1765129537-106,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Ensembles pour enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3097512_uploaded_image1_1620164877.jpg"""
"1765129537-107,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Bazin riche avec broderie"",""18 000CFA"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3092548_uploaded_image1_1619979222.jpg"""
"1765129537-108,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe enfant"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091601_uploaded_image1_1619937730.jpg"""
"1765129537-109,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements Enfants"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091599_uploaded_image3_1619937608.jpeg"""
"1765129537-110,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Ensemble enfant"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091597_uploaded_image1_1619937516.jpg"""
"1765129537-111,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Polo Enfant"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091593_uploaded_image1_1619937425.jpg"""
"1765129537-112,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Ensemble enfant"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091582_uploaded_image1_1619937100.jpg"""
"1765129537-113,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robes enfant"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091576_uploaded_image1_1619936893.jpg"""
"1765129537-114,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements Enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3091356_uploaded_image1_1619918393.jpg"""
