"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128888-106,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""22 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231313_uploaded_image1_1741922943.jpg"""
"1765128888-107,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures Timberland rasés"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231311_uploaded_image1_1741922689.jpg"""
"1765128888-108,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures hommes new balance"",""29 900CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231310_uploaded_image1_1741922540.jpg"""
"1765128888-109,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures hommes"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231308_uploaded_image1_1741922409.jpg"""
"1765128888-110,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Mocassins homme"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231306_uploaded_image1_1741922306.jpg"""
"1765128888-111,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""10 000CFA"",""Touba, Sénégal"",""https://images.coinafrique.com/thumb_5231062_uploaded_image1_1741909010.jpg"""
"1765128888-112,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures Unisexe"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5228727_uploaded_image1_1741792966.jpg"""
"1765128888-113,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""15 000CFA"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5226818_uploaded_image1_1741705646.jpg"""
"1765128888-114,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Sandales homme"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5226470_uploaded_image1_1741695937.jpg"""
"1765128888-115,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures  homme Dior"",""20 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5179616_uploaded_image1_1739215885.jpg"""
"1765128888-116,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""8 000CFA"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5222481_uploaded_image2_1741519989.jpeg"""
"1765128888-117,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures Parada Milano"",""16 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5177848_uploaded_image1_1739130539.jpg"""
"1765128888-118,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Baskets Adidas"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5177843_uploaded_image1_1739130312.jpg"""
